Date,price,zone
7/7/2021 12:00:00 AM,41.73214,PGAE
7/7/2021 1:00:00 AM,39.0189,PGAE
7/7/2021 2:00:00 AM,37.28364,PGAE
7/7/2021 3:00:00 AM,36.78629,PGAE
7/7/2021 4:00:00 AM,37.04723,PGAE
7/7/2021 5:00:00 AM,39.70655,PGAE
7/7/2021 6:00:00 AM,49.06457,PGAE
7/7/2021 7:00:00 AM,37.69437,PGAE
7/7/2021 8:00:00 AM,35.29646,PGAE
7/7/2021 9:00:00 AM,35.14466,PGAE
7/7/2021 10:00:00 AM,37.58158,PGAE
7/7/2021 11:00:00 AM,39.928,PGAE
7/7/2021 12:00:00 PM,42.58125,PGAE
7/7/2021 1:00:00 PM,45.85786,PGAE
7/7/2021 2:00:00 PM,49.51982,PGAE
7/7/2021 3:00:00 PM,50,PGAE
7/7/2021 4:00:00 PM,56.36389,PGAE
7/7/2021 5:00:00 PM,69.26292,PGAE
7/7/2021 6:00:00 PM,73.64699,PGAE
7/7/2021 7:00:00 PM,90.86085,PGAE
7/7/2021 8:00:00 PM,79.58647,PGAE
7/7/2021 9:00:00 PM,71.96051,PGAE
7/7/2021 10:00:00 PM,56.99146,PGAE
7/7/2021 11:00:00 PM,48.73574,PGAE
7/7/2021 12:00:00 AM,36.94092,SCE
7/7/2021 1:00:00 AM,37.56297,SCE
7/7/2021 2:00:00 AM,35.75851,SCE
7/7/2021 3:00:00 AM,35.46875,SCE
7/7/2021 4:00:00 AM,35.74105,SCE
7/7/2021 5:00:00 AM,38.31693,SCE
7/7/2021 6:00:00 AM,49.03548,SCE
7/7/2021 7:00:00 AM,36.46338,SCE
7/7/2021 8:00:00 AM,34.00648,SCE
7/7/2021 9:00:00 AM,33.81246,SCE
7/7/2021 10:00:00 AM,36.58971,SCE
7/7/2021 11:00:00 AM,38.43821,SCE
7/7/2021 12:00:00 PM,41.82838,SCE
7/7/2021 1:00:00 PM,45.38936,SCE
7/7/2021 2:00:00 PM,49.60395,SCE
7/7/2021 3:00:00 PM,58.34,SCE
7/7/2021 4:00:00 PM,62.15959,SCE
7/7/2021 5:00:00 PM,68.42568,SCE
7/7/2021 6:00:00 PM,89.55806,SCE
7/7/2021 7:00:00 PM,125.63894,SCE
7/7/2021 8:00:00 PM,88.39865,SCE
7/7/2021 9:00:00 PM,72.39677,SCE
7/7/2021 10:00:00 PM,56.73691,SCE
7/7/2021 11:00:00 PM,47.23441,SCE
7/7/2021 12:00:00 AM,37.36672,SDGE
7/7/2021 1:00:00 AM,37.62,SDGE
7/7/2021 2:00:00 AM,35.91976,SDGE
7/7/2021 3:00:00 AM,35.68265,SDGE
7/7/2021 4:00:00 AM,35.98331,SDGE
7/7/2021 5:00:00 AM,38.4128,SDGE
7/7/2021 6:00:00 AM,49.25082,SDGE
7/7/2021 7:00:00 AM,36.72855,SDGE
7/7/2021 8:00:00 AM,34.20706,SDGE
7/7/2021 9:00:00 AM,37.72196,SDGE
7/7/2021 10:00:00 AM,43.21327,SDGE
7/7/2021 11:00:00 AM,38.26652,SDGE
7/7/2021 12:00:00 PM,41.24796,SDGE
7/7/2021 1:00:00 PM,44.46147,SDGE
7/7/2021 2:00:00 PM,48.81706,SDGE
7/7/2021 3:00:00 PM,57.49908,SDGE
7/7/2021 4:00:00 PM,60.96484,SDGE
7/7/2021 5:00:00 PM,67.37232,SDGE
7/7/2021 6:00:00 PM,86.34963,SDGE
7/7/2021 7:00:00 PM,122.23621,SDGE
7/7/2021 8:00:00 PM,83.26232,SDGE
7/7/2021 9:00:00 PM,70.86912,SDGE
7/7/2021 10:00:00 PM,59.02,SDGE
7/7/2021 11:00:00 PM,47.31511,SDGE
7/7/2021 12:00:00 AM,35.64,VEA
7/7/2021 1:00:00 AM,35.43522,VEA
7/7/2021 2:00:00 AM,33.70882,VEA
7/7/2021 3:00:00 AM,33.49426,VEA
7/7/2021 4:00:00 AM,33.73794,VEA
7/7/2021 5:00:00 AM,36.12877,VEA
7/7/2021 6:00:00 AM,43.60376,VEA
7/7/2021 7:00:00 AM,29.11033,VEA
7/7/2021 8:00:00 AM,25.61273,VEA
7/7/2021 9:00:00 AM,23.52689,VEA
7/7/2021 10:00:00 AM,26.36958,VEA
7/7/2021 11:00:00 AM,29.46339,VEA
7/7/2021 12:00:00 PM,32.25635,VEA
7/7/2021 1:00:00 PM,35.91,VEA
7/7/2021 2:00:00 PM,38.05319,VEA
7/7/2021 3:00:00 PM,49.77228,VEA
7/7/2021 4:00:00 PM,50.30745,VEA
7/7/2021 5:00:00 PM,53.85253,VEA
7/7/2021 6:00:00 PM,82.78751,VEA
7/7/2021 7:00:00 PM,118.4711,VEA
7/7/2021 8:00:00 PM,80.66748,VEA
7/7/2021 9:00:00 PM,68.97567,VEA
7/7/2021 10:00:00 PM,55.0411,VEA
7/7/2021 11:00:00 PM,46.21042,VEA
