date,renewable,demand,price,conv,PV,wind,,,MW¥‹¿ß,$/MW
07/07/2021 12:00:00 AM,4826,27625,36.94092,155.9,-23,4849,,,,
0:05,4840,27504,36.9927575,155.9,-24,4864,,,,
0:10,4824,27438,37.044595,155.9,-23,4847,,,,
0:15,4828,27285,37.0964325,155.9,-23,4851,,,,
0:20,4809,27161,37.14827,155.9,-23,4832,,,,
0:25,4814,27020,37.2001075,155.9,-23,4837,,,,
0:30,4853,26885,37.251945,155.9,-23,4876,,,,
0:35,4837,26738,37.3037825,155.9,-23,4860,,,,
0:40,4840,26606,37.35562,155.9,-23,4863,,,,
0:45,4788,26470,37.4074575,155.9,-23,4811,,,,
0:50,4744,26327,37.459295,155.9,-22,4766,,,,
0:55,4712,26194,37.5111325,155.9,-23,4735,,,,
1:00,4701,26036,37.56297,155.9,-22,4723,,,,
1:05,4671,25942,37.41259833,155.9,-22,4693,,,,
1:10,4637,25829,37.26222667,155.9,-22,4659,,,,
1:15,4613,25668,37.111855,155.9,-22,4635,,,,
1:20,4592,25593,36.96148333,155.9,-22,4614,,,,
1:25,4571,25478,36.81111167,155.9,-22,4593,,,,
1:30,4568,25383,36.66074,155.9,-22,4590,,,,
1:35,4586,25259,36.51036833,155.9,-22,4608,,,,
1:40,4612,25153,36.35999667,155.9,-22,4634,,,,
1:45,4586,25059,36.209625,155.9,-22,4608,,,,
1:50,4594,24967,36.05925333,155.9,-22,4616,,,,
1:55,4606,24861,35.90888167,155.9,-22,4628,,,,
2:00,4613,24778,35.75851,155.9,-21,4634,,,,
2:05,4609,24642,35.73436333,155.9,-22,4631,,,,
2:10,4584,24585,35.71021667,155.9,-22,4606,,,,
2:15,4532,24541,35.68607,155.9,-22,4554,,,,
2:20,4512,24479,35.66192333,155.9,-23,4535,,,,
2:25,4509,24396,35.63777667,155.9,-22,4531,,,,
2:30,4455,24313,35.61363,155.9,-22,4477,,,,
2:35,4411,24229,35.58948333,155.9,-23,4434,,,,
2:40,4373,24102,35.56533667,155.9,-23,4396,,,,
2:45,4361,24094,35.54119,155.9,-23,4384,,,,
2:50,4341,24016,35.51704333,155.9,-23,4364,,,,
2:55,4320,23949,35.49289667,155.9,-23,4343,,,,
3:00,4310,23898,35.46875,155.9,-23,4333,,,,
3:05,4336,23894,35.49144167,155.9,-23,4359,,,,
3:10,4315,23861,35.51413333,155.9,-23,4338,,,,
3:15,4314,23784,35.536825,155.9,-23,4337,,,,
3:20,4266,23772,35.55951667,155.9,-23,4289,,,,
3:25,4245,23702,35.58220833,155.9,-23,4268,,,,
3:30,4211,23649,35.6049,155.9,-23,4234,,,,
3:35,4168,23648,35.62759167,155.9,-23,4191,,,,
3:40,4120,23627,35.65028333,155.9,-23,4143,,,,
3:45,4054,23581,35.672975,155.9,-23,4077,,,,
3:50,4015,23557,35.69566667,155.9,-23,4038,,,,
3:55,3995,23510,35.71835833,155.9,-23,4018,,,,
4:00,3950,23499,35.74105,155.9,-23,3973,,,,
4:05,3937,23515,35.95570667,155.9,-23,3960,,,,
4:10,3941,23613,36.17036333,155.9,-23,3964,,,,
4:15,3934,23653,36.38502,155.9,-23,3957,,,,
4:20,3912,23709,36.59967667,155.9,-23,3935,,,,
4:25,3874,23700,36.81433333,155.9,-24,3898,,,,
